Index,Continent,Companycountry,Metal,Mine,Status
231,Africa,Zimbabwe,Li,Bikita,Active
232,Europe,UK,Co,Bindura,Active
233,Europe,UK,Cu,Bindura,Active
234,Europe,UK,Ni,Bindura,Active
235,Europe,UK,PGM,Bindura,Active
236,North America,Canada,Au,Blanket,"Operating, exp/plans"
237,Asia,India,Fe,Buchwa,Closed
238,Africa,Zimbabwe,Au,Cam,Operating
239,North America,Canada,Au,Camperdown,Operating
240,North America,Canada,Au,Connemara,Closed
241,Africa,South Africa,Cu,Corsyn,Active
242,Africa,South Africa,Ag,Corsyn,Active
243,North America,Canada,Au,Dalny,Operating
244,Africa,Zimbabwe,PO43,Dorowa,Active
245,Africa,Zimbabwe,Au,Elvington,Operating
246,Europe,UK,Co,Epoch,Closed
247,Europe,UK,Cu,Epoch,Closed
248,Europe,UK,Ni,Epoch,Closed
249,Africa,South Africa,Au,Eureka,Operating
250,Africa,Zimbabwe,Au,Freda,Suspended
251,Europe,UK,Au,Freda,"Operating, exp/plans"
252,North America,Canada,Au,Golden,Closed
253,North America,Canada,Au,Golden,Operating
254,Africa,South Africa,PGM,Hartley,Suspended
255,Africa,South Africa,Au,How,Operating
256,Africa,Zimbabwe,Coal,Hwange,Operating
257,North America,Canada,Au,Indarama,Suspended
258,Europe,UK,Au,Inez,Suspended
259,Africa,Zimbabwe,Au,Jena,Operating
260,Africa,Zimbabwe,Coltan,Kamativi,Active
261,Africa,Zimbabwe,Sn,Kamativi,Active
262,Europe,UK,Co,Madziwa,Closed
263,Europe,UK,Cu,Madziwa,Closed
264,Europe,UK,Ni,Madziwa,Closed
265,Europe,UK,Au,Maligreen,Closed
266,Africa,South Africa,Au,Mazowe,Suspended
267,Africa,Zimbabwe,Cu,Merits,Active
268,Africa,South Africa,Au,Metallon,Active
269,Africa,Zimbabwe,Cu,Mhangura,Active
270,Africa,Zimbabwe,Au,Mhangura,Active
271,Africa,Zimbabwe,PGM,Mhangura,Active
272,Africa,Zimbabwe,Ag,Mhangura,Active
273,Oceania,Australia,Co,Mimosa,Operating
274,Oceania,Australia,Cu,Mimosa,Operating
275,Oceania,Australia,Au,Mimosa,Operating
276,Oceania,Australia,Ni,Mimosa,Operating
277,Oceania,Australia,PGM,Mimosa,Operating
278,Africa,South Africa,Au,Muriel,Suspended
279,Europe,UK,Dia,Murowa,"Operating, exp/constr"
280,Africa,South Africa,Cu,Ngezi,"Operating, exp/constr"
281,Africa,South Africa,Au,Ngezi,"Operating, exp/constr"
282,Africa,South Africa,Ni,Ngezi,"Operating, exp/constr"
283,Africa,South Africa,PGM,Ngezi,"Operating, exp/constr"
284,North America,Canada,Au,Old,Operating
285,North America,Canada,Au,Olympus,Active
286,Africa,South Africa,Au,Redwing,Operating
287,Africa,Zimbabwe,Cu,Renco,Operating
288,Africa,Zimbabwe,Au,Renco,Operating
289,Asia,India,Fe,Ripple,Suspended
290,North America,Canada,Dia,River,Operating
291,Africa,Zimbabwe,Au,Sabi,Active
292,Africa,Zimbabwe,Au,Sabi,Operating
293,Africa,Zimbabwe,Cu,Sanyati,Closed
294,Africa,South Africa,Au,Shamwa,Operating
295,Europe,UK,Co,Shangani,Suspended
296,Europe,UK,Cu,Shangani,Suspended
297,Europe,UK,Ni,Shangani,Suspended
298,Oceania,Australia,Au,Tiger,Operating
299,Europe,UK,Co,Trojan,Operating
300,Europe,UK,Cu,Trojan,Operating
301,Europe,UK,Ni,Trojan,Operating
302,North America,Canada,Au,Turk,Operating
303,Europe,UK,Cu,Unki,Operating
304,Europe,UK,Au,Unki,Operating
305,Europe,UK,Ni,Unki,Operating
306,Europe,UK,PGM,Unki,Operating
