Latitude,Longitude,country,shortname
-20.3383,30.0389,Zimbabwe,Mimosa
-20.3383,30.0389,Zimbabwe,Mimosa
-20.3383,30.0389,Zimbabwe,Mimosa
-20.3383,30.0389,Zimbabwe,Mimosa
-20.3383,30.0389,Zimbabwe,Mimosa
-20.3383,30.0389,Zimbabwe,Mimosa
-20.3383,30.0389,Zimbabwe,Mimosa
,,Zimbabwe,Mining
-17.25,30.5833,Zimbabwe,Muriel
-20.3667,30,Zimbabwe,Murowa
-20.3667,30,Zimbabwe,Murowa
-20.5667,30.4,Zimbabwe,Ngezi
-20.5667,30.4,Zimbabwe,Ngezi
-20.5667,30.4,Zimbabwe,Ngezi
-20.5667,30.4,Zimbabwe,Ngezi
-20.5667,30.4,Zimbabwe,Ngezi
-20.5667,30.4,Zimbabwe,Ngezi
-20.5667,30.4,Zimbabwe,Ngezi
,,Zimbabwe,Norman
-20.1853,28.6347,Zimbabwe,Old
,,Zimbabwe,Olympus
-18.2583,29.8083,Zimbabwe,Patchway/Brompton
,,Zimbabwe,Peach
-18.85,32.675,Zimbabwe,Redwing
,,Zimbabwe,Reedbuck
-20.6292,31.1736,Zimbabwe,Renco
-20.6292,31.1736,Zimbabwe,Renco
,,Zimbabwe,Rhodesian
,,Zimbabwe,Rio
-19.1333,29.7,Zimbabwe,Ripple
-22.2167,29.9833,Zimbabwe,River
-20.5167,29.2633,Zimbabwe,Royal
,,Zimbabwe,Sabi
-20.3556,30.1792,Zimbabwe,Sabi
-16.7,28.16,Zimbabwe,Sanyati
-17.3333,31.5764,Zimbabwe,Shamwa
-20.1,29,Zimbabwe,Shangani
-20.1,29,Zimbabwe,Shangani
-20.1,29,Zimbabwe,Shangani
-18.9167,29.6667,Zimbabwe,Tiger
-17.33,31.33,Zimbabwe,Trojan
-17.33,31.33,Zimbabwe,Trojan
-17.33,31.33,Zimbabwe,Trojan
-19.7159,28.7889,Zimbabwe,Turk
-19.65,30.0833,Zimbabwe,Unki
-19.65,30.0833,Zimbabwe,Unki
-19.65,30.0833,Zimbabwe,Unki
-19.65,30.0833,Zimbabwe,Unki
-19.65,30.0833,Zimbabwe,Unki
-19.65,30.0833,Zimbabwe,Unki
-19.65,30.0833,Zimbabwe,Unki
-18.4819,29.7111,Zimbabwe,Venice
-20.8522,28.9028,Zimbabwe,Vubachikwe
,,Zimbabwe,Zimbabwe
,,Zimbabwe,Zimbabwe
-26.8667,26.65,South Africa,Afrikaner
-30.7858,25.0792,South Africa,Agisanang
-28.6667,16.5333,South Africa,Alexkor
-28.6667,16.5333,South Africa,Alexkor
-24.8083,27.3167,South Africa,Amandelbult
-24.8083,27.3167,South Africa,Amandelbult
-24.8083,27.3167,South Africa,Amandelbult
-24.8083,27.3167,South Africa,Amandelbult
-24.8083,27.3167,South Africa,Amandelbult
-24.8083,27.3167,South Africa,Amandelbult
-24.8083,27.3167,South Africa,Amandelbult
-24.4992,28.2269,South Africa,Ardo
-24.4992,28.2269,South Africa,Ardo
-26.1667,28.7167,South Africa,Arnot
-26.0833,29.1833,South Africa,ATC
-26.1,29.2167,South Africa,ATCOM
-27.9497,30.2333,South Africa,Aviemore
,,South Africa,Bafokeng
-25.4333,27.1,South Africa,Bafokeng-Rasimone
-25.4333,27.1,South Africa,Bafokeng-Rasimone
-25.4333,27.1,South Africa,Bafokeng-Rasimone
-25.4333,27.1,South Africa,Bafokeng-Rasimone
-25.4333,27.1,South Africa,Bafokeng-Rasimone
-25.4333,27.1,South Africa,Bafokeng-Rasimone
-25.4333,27.1,South Africa,Bafokeng-Rasimone
-28.6667,16.5333,South Africa,Baken
-28.6667,16.5333,South Africa,Baken
,,South Africa,Balmoral
-26.7333,27.9167,South Africa,Bambanani
-29.4667,26,South Africa,Bank
-29.3831,27.0833,South Africa,Bankfontein
-25.9167,31,South Africa,Barberton
-25.85,31,South Africa,Barberton
-25.725,31.2806,South Africa,Barbrook
-25.6833,27.3,South Africa,Bathopele
-25.6833,27.3,South Africa,Bathopele
-25.6833,27.3,South Africa,Bathopele
-25.6833,27.3,South Africa,Bathopele
-25.6833,27.3,South Africa,Bathopele
-25.6833,27.3,South Africa,Bathopele
-25.6833,27.3,South Africa,Bathopele
-28.2833,26.7667,South Africa,Beatrix
-28.2833,23,South Africa,Beeshoek
,,South Africa,Beisa
,,South Africa,Beisa
-26.2204,28.3328,South Africa,Benoni
-26.775,29.3167,South Africa,Black
-29.2333,18.7292,South Africa,Black
-29.2333,18.7292,South Africa,Black
-29.2333,18.7292,South Africa,Black
-29.2333,18.7292,South Africa,Black
-28.3,23.0667,South Africa,Black
-25.8167,29.4333,South Africa,Black
-28.35,16.8333,South Africa,Bloeddrift
-27.25,25.05,South Africa,Blue
-25.3333,29.65,South Africa,Blue
-25.3333,29.65,South Africa,Blue
-25.3333,29.65,South Africa,Blue
-25.3333,29.65,South Africa,Blue
-25.3333,29.65,South Africa,Blue
-26.43,27.38,South Africa,Blyvooruitzicht
-26.43,27.38,South Africa,Blyvooruitzicht
-26.4,27.4,South Africa,Blyvooruitzicht
-26.43,27.3833,South Africa,Blyvooruitzicht
-28.1333,24.4,South Africa,Bokang
-28.1333,24.4,South Africa,Bokang
-24.2667,29.8583,South Africa,Bokoni
-24.2667,29.8583,South Africa,Bokoni
-24.2667,29.8583,South Africa,Bokoni
-24.2667,29.8583,South Africa,Bokoni
-24.2667,29.8583,South Africa,Bokoni
-24.2667,29.8583,South Africa,Bokoni
-24.2667,29.8583,South Africa,Bokoni
-26.0333,29.1167,South Africa,Boschmans
-25.4667,27.1306,South Africa,Boshoek
-26.55,29.1,South Africa,Bosjesspruit
-26.52,29.1,South Africa,Bracken
-26.275,30.1667,South Africa,Brandspruit
-26.8389,26.8667,South Africa,Buffelsfontein
-26.8389,26.8667,South Africa,Buffelsfontein
-25.95,27.5333,South Africa,Buffelsfontein
-26.8833,26.7667,South Africa,Buffelsfontein
-26.84,26.9189,South Africa,Buffelsfontein
-26.84,26.9189,South Africa,Buffelsfontein
-26.6667,28.6667,South Africa,Burnstone
-26.22,27.973,South Africa,Central
-25.25,26.92,South Africa,Chrome
-25.26,27.13,South Africa,Chrome
-25.7167,27.3167,South Africa,Chromecorp
-26.2333,27.9667,South Africa,City
-25.6139,27.2056,South Africa,CMI
,,South Africa,Consolidated
,,South Africa,Consolidated
-23.9,30.6833,South Africa,Consolidated
-23.9,30.6833,South Africa,Consolidated
-26.3333,27.6833,South Africa,Cooke
-26.1667,27.7167,South Africa,Cooke
-26.1667,27.7167,South Africa,Cooke
-25.5,27.4917,South Africa,Crocodile
-25.5,27.4917,South Africa,Crocodile
-25.5,27.4917,South Africa,Crocodile
-25.5,27.4917,South Africa,Crocodile
-25.5,27.4917,South Africa,Crocodile
-26.2333,27.9667,South Africa,Crown
-28.5153,25.6736,South Africa,Cullinan
-28.5153,25.6736,South Africa,Cullinan
-26.3083,28.4833,South Africa,Daggafontein
-26.4667,27.3333,South Africa,Deelkraal
-26.25,28.8333,South Africa,Delmas
-26.1333,28.7667,South Africa,Delmas
-24.5833,30.1417,South Africa,Dilokong
-24.75,27.3833,South Africa,Dishaba
-24.75,27.3833,South Africa,Dishaba
-24.75,27.3833,South Africa,Dishaba
-24.75,27.3833,South Africa,Dishaba
-24.75,27.3833,South Africa,Dishaba
-24.75,27.3833,South Africa,Dishaba
