Index,Companycountry,Metal,Mine,Status
235,UK,Ni,Madziwa,Closed
236,UK,Au,Maligreen,Closed
237,South Africa,Au,Mazowe,Suspended
238,Zimbabwe,Cu,Merits,Active
239,South Africa,Au,Metallon,Active
240,Zimbabwe,Cu,Mhangura,Active
241,Zimbabwe,Au,Mhangura,Active
242,Zimbabwe,PGM,Mhangura,Active
243,Zimbabwe,PGM,Mhangura,Active
244,Zimbabwe,PGM,Mhangura,Active
245,Zimbabwe,Ag,Mhangura,Active
246,Australia,Co,Mimosa,Operating
247,Australia,Cu,Mimosa,Operating
248,Australia,Au,Mimosa,Operating
249,Australia,Ni,Mimosa,Operating
250,Australia,PGM,Mimosa,Operating
251,Australia,PGM,Mimosa,Operating
252,Australia,PGM,Mimosa,Operating
253,Australia,PGM,Mimosa,Operating
254,South Africa,Au,Muriel,Suspended
255,UK,Dia,Murowa,"Operating, exp/constr"
256,South Africa,Cu,Ngezi,"Operating, exp/constr"
257,South Africa,Au,Ngezi,"Operating, exp/constr"
258,South Africa,Ni,Ngezi,"Operating, exp/constr"
259,South Africa,PGM,Ngezi,"Operating, exp/constr"
260,South Africa,PGM,Ngezi,"Operating, exp/constr"
261,South Africa,PGM,Ngezi,"Operating, exp/constr"
262,South Africa,PGM,Ngezi,"Operating, exp/constr"
263,Canada,Au,Old,Operating
264,Canada,Au,Olympus,Active
265,South Africa,Au,Redwing,Operating
266,Zimbabwe,Cu,Renco,Operating
267,Zimbabwe,Au,Renco,Operating
268,India,Fe,Ripple,Suspended
269,Canada,Dia,River,Operating
270,Zimbabwe,Au,Sabi,Active
271,Zimbabwe,Au,Sabi,Operating
272,Zimbabwe,Cu,Sanyati,Closed
273,South Africa,Au,Shamwa,Operating
274,UK,Co,Shangani,Suspended
275,UK,Cu,Shangani,Suspended
276,UK,Ni,Shangani,Suspended
277,Australia,Au,Tiger,Operating
278,UK,Co,Trojan,Operating
279,UK,Cu,Trojan,Operating
280,UK,Ni,Trojan,Operating
281,Canada,Au,Turk,Operating
282,UK,Cu,Unki,Operating
283,UK,Au,Unki,Operating
284,UK,Ni,Unki,Operating
285,UK,PGM,Unki,Operating
286,UK,PGM,Unki,Operating
287,UK,PGM,Unki,Operating
288,UK,PGM,Unki,Operating
289,Canada,Au,Venice,"Closed, reopen/plans"
290,Zimbabwe,Au,Vubachikwe,Operating
291,Zimbabwe,Cr,Zimbabwe,Active
292,China,Cr,Zimbabwe,Active
293,Australia,Au,Afrikaner,Closed
294,South Africa,Dia,Agisanang,Suspended
295,South Africa,Dia,Alexkor,Active
296,UK,Cu,Amandelbult,Operating
297,UK,Au,Amandelbult,Operating
298,UK,Ni,Amandelbult,Operating
299,UK,PGM,Amandelbult,Operating
300,UK,PGM,Amandelbult,Operating
301,UK,PGM,Amandelbult,Operating
302,UK,PGM,Amandelbult,Operating
303,South Africa,coal,Arnot,Operating
304,Switzerland,coal,ATC,Operating
305,Switzerland,coal,ATCOM,"Operating, exp/constr"
306,Canada,coal,Aviemore,Operating
307,South Africa,Cu,Bafokeng-Rasimone,Operating
308,South Africa,Au,Bafokeng-Rasimone,Operating
309,South Africa,Ni,Bafokeng-Rasimone,Operating
310,South Africa,PGM,Bafokeng-Rasimone,Operating
311,South Africa,PGM,Bafokeng-Rasimone,Operating
312,South Africa,PGM,Bafokeng-Rasimone,Operating
313,South Africa,PGM,Bafokeng-Rasimone,Operating
314,South Africa,Dia,Baken,Operating
315,South Africa,Au,Balmoral,Active
316,South Africa,Au,Bambanani,Operating
317,UK,coal,Bank,Suspended
318,South Africa,coal,Bankfontein,Operating
319,South Africa,Au,Barberton,Closed
320,South Africa,Au,Barberton,Operating
321,Australia,Au,Barbrook,Operating
322,UK,Cu,Bathopele,"Operating, exp/plans"
323,UK,Au,Bathopele,"Operating, exp/plans"
324,UK,Ni,Bathopele,"Operating, exp/plans"
325,UK,PGM,Bathopele,"Operating, exp/plans"
326,UK,PGM,Bathopele,"Operating, exp/plans"
327,UK,PGM,Bathopele,"Operating, exp/plans"
328,UK,PGM,Bathopele,"Operating, exp/plans"
329,South Africa,Au,Beatrix,"Operating, exp/constr"
330,South Africa,Fe,Beeshoek,Operating
331,South Africa,Au,Benoni,Closed
332,South Africa,coal,Black,Operating
333,UK,Cu,Black,Operating
334,UK,Pb,Black,Operating
335,UK,Ag,Black,Operating
336,UK,Zn,Black,Operating
337,South Africa,Mn,Black,Operating
338,UK,coal,Black,Operating
339,South Africa,Dia,Bloeddrift,Operating
340,Canada,Au,Blue,Suspended
341,Australia,Au,Blue,"Susp, restart/plans"
342,Australia,PGM,Blue,"Susp, restart/plans"
343,Australia,PGM,Blue,"Susp, restart/plans"
344,Australia,PGM,Blue,"Susp, restart/plans"
345,Australia,PGM,Blue,"Susp, restart/plans"
346,South Africa,Au,Blyvooruitzicht,Operating
347,South Africa,U,Blyvooruitzicht,Operating
348,South Africa,Au,Blyvooruitzicht,Operating
349,South Africa,Au,Blyvooruitzicht,Operating
350,South Africa,Dia,Bokang,Suspended
351,UK,Cu,Bokoni,Operating
352,UK,Au,Bokoni,Operating
353,UK,Ni,Bokoni,Operating
354,UK,PGM,Bokoni,Operating
355,UK,PGM,Bokoni,Operating
356,UK,PGM,Bokoni,Operating
357,UK,PGM,Bokoni,Operating
358,Switzerland,coal,Boschmans,Operating
359,Switzerland,Cr,Boshoek,Operating
360,South Africa,coal,Bosjesspruit,Operating
361,South Africa,Au,Bracken,Suspended
362,South Africa,coal,Brandspruit,Operating
363,South Africa,Au,Buffelsfontein,Operating
364,South Africa,Au,Buffelsfontein,"Susp, restart/feasib"
365,UK,Cr,Buffelsfontein,"Operating, exp/plans"
366,South Africa,Au,Buffelsfontein,Operating
367,South Africa,Au,Buffelsfontein,Suspended
368,South Africa,U,Buffelsfontein,Suspended
369,Canada,Au,Burnstone,Suspended
370,South Africa,Au,Central,Operating
371,Germany,Cr,Chrome,Operating
372,Switzerland,Cr,Chrome,Suspended
373,South Africa,Au,City,Closed
374,Switzerland,Cr,CMI,Suspended
375,South Africa,Mn,Consolidated,Non-active
376,South Africa,Sb,Consolidated,Operating
377,South Africa,Au,Consolidated,Operating
378,Australia,Au,Cooke,Operating
