Metalmineral,Fullname,Status,Controllingcompany1contro,Controllingcompany1country,Controllingcompany1type,Controllingcompany2contro,Controllingcompany2country,Controllingcompany2type,Controllingcompany3contro,Controllingcompany3country,Controllingcompany3type,Companycountry,Latitude,Longitude,country,shortname,metal,admin_03
Gold  (t),Mhangura Copper Mines Ltd,Active,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-16.8833,30.1625,Zimbabwe,Mhangura,Au,ZWE
Palladium  (t),Mhangura Copper Mines Ltd,Active,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-16.8833,30.1625,Zimbabwe,Mhangura,PGM,ZWE
Platinum  (t),Mhangura Copper Mines Ltd,Active,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-16.8833,30.1625,Zimbabwe,Mhangura,PGM,ZWE
PGMs  (t),Mhangura Copper Mines Ltd,Active,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-16.8833,30.1625,Zimbabwe,Mhangura,PGM,ZWE
Silver  (t),Mhangura Copper Mines Ltd,Active,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-16.8833,30.1625,Zimbabwe,Mhangura,Ag,ZWE
Cobalt  (kt),Mimosa Platinum Mine,Operating,Aquarius (50%),Australia,Company ,Implats (50%),South Africa,Major company,,,,Australia,-20.3383,30.0389,Zimbabwe,Mimosa,Co,ZWE
Copper  (kt),Mimosa Platinum Mine,Operating,Aquarius (50%),Australia,Company ,Implats (50%),South Africa,Major company,,,,Australia,-20.3383,30.0389,Zimbabwe,Mimosa,Cu,ZWE
Gold  (t),Mimosa Platinum Mine,Operating,Aquarius (50%),Australia,Company ,Implats (50%),South Africa,Major company,,,,Australia,-20.3383,30.0389,Zimbabwe,Mimosa,Au,ZWE
Nickel  (kt),Mimosa Platinum Mine,Operating,Aquarius (50%),Australia,Company ,Implats (50%),South Africa,Major company,,,,Australia,-20.3383,30.0389,Zimbabwe,Mimosa,Ni,ZWE
Palladium  (t),Mimosa Platinum Mine,Operating,Aquarius (50%),Australia,Company ,Implats (50%),South Africa,Major company,,,,Australia,-20.3383,30.0389,Zimbabwe,Mimosa,PGM,ZWE
Platinum  (t),Mimosa Platinum Mine,Operating,Aquarius (50%),Australia,Company ,Implats (50%),South Africa,Major company,,,,Australia,-20.3383,30.0389,Zimbabwe,Mimosa,PGM,ZWE
PGMs  (t),Mimosa Platinum Mine,Operating,Aquarius (50%),Australia,Company ,Implats (50%),South Africa,Major company,,,,Australia,-20.3383,30.0389,Zimbabwe,Mimosa,PGM,ZWE
Rhodium  (t),Mimosa Platinum Mine,Operating,Aquarius (50%),Australia,Company ,Implats (50%),South Africa,Major company,,,,Australia,-20.3383,30.0389,Zimbabwe,Mimosa,PGM,ZWE
Chromite  (kt),Mining cooperatives in Zimbabwe,,,MISSING,,,,,,,,,,,Zimbabwe,Mining,Cr,ZWE
Gold  (t),Muriel Gold Mine,Suspended,African Pioneer (100%),South Africa,Holding company ,,,,,,,South Africa,-17.25,30.5833,Zimbabwe,Muriel,Au,ZWE
Diamond carats  (Mct),Murowa Diamond Mine,Operating: exp/constr,Rio Tinto Group (78%),UK,Major company,Riozim (22%),Zimbabwe,Holding company ,,,,UK,-20.3667,30,Zimbabwe,Murowa,Dia,ZWE
Diamond value  (M USD),Murowa Diamond Mine,Operating: exp/constr,Rio Tinto Group (78%),UK,Major company,Riozim (22%),Zimbabwe,Holding company ,,,,UK,-20.3667,30,Zimbabwe,Murowa,Dia,ZWE
Copper  (kt),Ngezi PGM Mine,Operating: exp/constr,Implats (100%),South Africa,Major company,,,,,,,South Africa,-20.5667,30.4,Zimbabwe,Ngezi,Cu,ZWE
Gold  (t),Ngezi PGM Mine,Operating: exp/constr,Implats (100%),South Africa,Major company,,,,,,,South Africa,-20.5667,30.4,Zimbabwe,Ngezi,Au,ZWE
Nickel  (kt),Ngezi PGM Mine,Operating: exp/constr,Implats (100%),South Africa,Major company,,,,,,,South Africa,-20.5667,30.4,Zimbabwe,Ngezi,Ni,ZWE
Palladium  (t),Ngezi PGM Mine,Operating: exp/constr,Implats (100%),South Africa,Major company,,,,,,,South Africa,-20.5667,30.4,Zimbabwe,Ngezi,PGM,ZWE
Platinum  (t),Ngezi PGM Mine,Operating: exp/constr,Implats (100%),South Africa,Major company,,,,,,,South Africa,-20.5667,30.4,Zimbabwe,Ngezi,PGM,ZWE
PGMs  (t),Ngezi PGM Mine,Operating: exp/constr,Implats (100%),South Africa,Major company,,,,,,,South Africa,-20.5667,30.4,Zimbabwe,Ngezi,PGM,ZWE
Rhodium  (t),Ngezi PGM Mine,Operating: exp/constr,Implats (100%),South Africa,Major company,,,,,,,South Africa,-20.5667,30.4,Zimbabwe,Ngezi,PGM,ZWE
Gold  (t),Norman Levin Gold Mines (Pvt) Ltd,Active,,MISSING,,,,,,,,,,,Zimbabwe,Norman,Au,ZWE
Gold  (t),Old Nic Gold Mine,Operating,New Dawn (100%),Canada,Company ,,,,,,,Canada,-20.1853,28.6347,Zimbabwe,Old,Au,ZWE
Gold  (t),Olympus Gold Mines Ltd,Active,New Dawn (100%),Canada,Company ,,,,,,,Canada,,,Zimbabwe,Olympus,Au,ZWE
Gold  (t),Patchway/Brompton Gold Mine,Suspended,,MISSING,,,,,,,,,-18.2583,29.8083,Zimbabwe,Patchway/Brompton,Au,ZWE
Gold  (t),Peach Tree Gold Mine,Operating,,MISSING,,,,,,,,,,,Zimbabwe,Peach,Au,ZWE
Gold  (t),Redwing Gold Mine,Operating,African Pioneer (100%),South Africa,Holding company ,,,,,,,South Africa,-18.85,32.675,Zimbabwe,Redwing,Au,ZWE
Gold  (t),Reedbuck Gold (Pvt) Ltd,Active,,MISSING,,,,,,,,,,,Zimbabwe,Reedbuck,Au,ZWE
Copper  (kt),Renco Gold Mine,Operating,Riozim (100%),Zimbabwe,Holding company ,,,,,,,Zimbabwe,-20.6292,31.1736,Zimbabwe,Renco,Cu,ZWE
Gold  (t),Renco Gold Mine,Operating,Riozim (100%),Zimbabwe,Holding company ,,,,,,,Zimbabwe,-20.6292,31.1736,Zimbabwe,Renco,Au,ZWE
Chromite  (kt),Rhodesian Vanadium Corp,Non-active,,MISSING,,,,,,,,,,,Zimbabwe,Rhodesian,Cr,ZWE
Chromite  (kt),Rio Tinto Zimbabwe Chrome Mines,Closed,,MISSING,,,,,,,,,,,Zimbabwe,Rio,Cr,ZWE
Iron ore  (Mt),Ripple Creek Iron Ore Mine,Suspended,Essar Group (100%),India ,Energy company  ,,,,,,,India,-19.1333,29.7,Zimbabwe,Ripple,Fe,ZWE
Diamond carats  (Mct),River Ranch Diamond Mine,Operating,Redaurum (100%),Canada,Company ,,,,,,,Canada,-22.2167,29.9833,Zimbabwe,River,Dia,ZWE
Gold  (t),Royal Family Gold Mine,Closed,,MISSING,,,,,,,,,-20.5167,29.2633,Zimbabwe,Royal,Au,ZWE
Gold  (t),Sabi Consolidated Gold Mines (Pvt) Ltd,Active,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,,,Zimbabwe,Sabi,Au,ZWE
Gold  (t),Sabi Gold Mine,Operating,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-20.3556,30.1792,Zimbabwe,Sabi,Au,ZWE
Copper  (kt),Sanyati Copper (SX-EW) Mine,Closed,State of Zimbabwe (100%),Zimbabwe,Government organ,,,,,,,Zimbabwe,-16.7,28.16,Zimbabwe,Sanyati,Cu,ZWE
Gold  (t),Shamwa Gold Mine,Operating,African Pioneer (100%),South Africa,Holding company ,,,,,,,South Africa,-17.3333,31.5764,Zimbabwe,Shamwa,Au,ZWE
Cobalt  (kt),Shangani Nickel Mine,Suspended,Mwana Africa (100%),UK,Company ,,,,,,,UK,-20.1,29,Zimbabwe,Shangani,Co,ZWE
Copper  (kt),Shangani Nickel Mine,Suspended,Mwana Africa (100%),UK,Company ,,,,,,,UK,-20.1,29,Zimbabwe,Shangani,Cu,ZWE
Nickel  (kt),Shangani Nickel Mine,Suspended,Mwana Africa (100%),UK,Company ,,,,,,,UK,-20.1,29,Zimbabwe,Shangani,Ni,ZWE
Gold  (t),Tiger Reef Gold Mine,Operating,BioMet (100%),Australia,Company ,,,,,,,Australia,-18.9167,29.6667,Zimbabwe,Tiger,Au,ZWE
Cobalt  (kt),Trojan Nickel Mine,Operating,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17.33,31.33,Zimbabwe,Trojan,Co,ZWE
Copper  (kt),Trojan Nickel Mine,Operating,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17.33,31.33,Zimbabwe,Trojan,Cu,ZWE
Nickel  (kt),Trojan Nickel Mine,Operating,Mwana Africa (100%),UK,Company ,,,,,,,UK,-17.33,31.33,Zimbabwe,Trojan,Ni,ZWE
Gold  (t),Turk Gold Mine,Operating,New Dawn (100%),Canada,Company ,,,,,,,Canada,-19.7159,28.7889,Zimbabwe,Turk,Au,ZWE
Copper  (kt),Unki PGM Mine,Operating,Anglo American (100%),UK,Major company,,,,,,,UK,-19.65,30.0833,Zimbabwe,Unki,Cu,ZWE
Gold  (t),Unki PGM Mine,Operating,Anglo American (100%),UK,Major company,,,,,,,UK,-19.65,30.0833,Zimbabwe,Unki,Au,ZWE
Nickel  (kt),Unki PGM Mine,Operating,Anglo American (100%),UK,Major company,,,,,,,UK,-19.65,30.0833,Zimbabwe,Unki,Ni,ZWE
Palladium  (t),Unki PGM Mine,Operating,Anglo American (100%),UK,Major company,,,,,,,UK,-19.65,30.0833,Zimbabwe,Unki,PGM,ZWE
Platinum  (t),Unki PGM Mine,Operating,Anglo American (100%),UK,Major company,,,,,,,UK,-19.65,30.0833,Zimbabwe,Unki,PGM,ZWE
PGMs  (t),Unki PGM Mine,Operating,Anglo American (100%),UK,Major company,,,,,,,UK,-19.65,30.0833,Zimbabwe,Unki,PGM,ZWE
Rhodium  (t),Unki PGM Mine,Operating,Anglo American (100%),UK,Major company,,,,,,,UK,-19.65,30.0833,Zimbabwe,Unki,PGM,ZWE
Gold  (t),Venice Gold Mine,Closed: reopen/plans,New Dawn (100%),Canada,Company ,,,,,,,Canada,-18.4819,29.7111,Zimbabwe,Venice,Au,ZWE
Gold  (t),Vubachikwe Gold Mine,Operating,Forbes & Thompso (100%),Zimbabwe,Company ,,,,,,,Zimbabwe,-20.8522,28.9028,Zimbabwe,Vubachikwe,Au,ZWE
Chromite  (kt),Zimbabwe Alloys Ltd,Active,Benscore (100%),Zimbabwe,Holding company ,,,,,,,Zimbabwe,,,Zimbabwe,Zimbabwe,Cr,ZWE
Chromite  (kt),Zimbabwe Mining & Smelting Co Ltd,Active,Sinosteel (100%),China ,Non-mining compa,,,,,,,China,,,Zimbabwe,Zimbabwe,Cr,ZWE
