Metalmineral,Fullname,Status,Controllingcompany1contro,Controllingcompany1country,Controllingcompany1type,Controllingcompany2contro,Controllingcompany2country,Controllingcompany2type,Controllingcompany3contro,Controllingcompany3country,Controllingcompany3type,Companycountry,Latitude,Longitude,country,shortname,metal,admin_03
Gold  (t),St_ des Mines du Sahel,Active,State of Burkina Faso (65%),Burkina Faso,Government organ,San Martin Mg Co (35%),USA,Company ,,,,Burkina Faso,,,Burkina Faso,St_,Au,BFA
Gold  (t),Taparko Gold Mine,Operating,Severstal (100%),Russia,Major company,,,,,,,Russia,13.48,0.36,Burkina Faso,Taparko,Au,BFA
Gold  (t),Youga Gold Mine,Operating,Endeavour (100%),Canada,Company ,,,,,,,Canada,11.05,-0.45,Burkina Faso,Youga,Au,BFA
Potash  (Mt),Cie des Potasses du Congo,Active,,MISSING,,,,,,,,,,,Congo Brazzaville,Cie,potash,COG
Copper  (kt),St_ Minière de M'Passa,Active,,MISSING,,,,,,,,,,,Congo Brazzaville,St_,Cu,COG
Lead  (kt),St_ Minière de M'Passa,Active,,MISSING,,,,,,,,,,,Congo Brazzaville,St_,Pb,COG
Zinc  (kt),St_ Minière de M'Passa,Active,,MISSING,,,,,,,,,,,Congo Brazzaville,St_,Zn,COG
Copper  (kt),St_ Nationale des Mines de M'Fouati,Active,State of Congo (100%),Congo (Brazzavil,Government organ,,,,,,,Congo (Brazzaville),,,Congo Brazzaville,St_,Cu,COG
Lead  (kt),St_ Nationale des Mines de M'Fouati,Active,State of Congo (100%),Congo (Brazzavil,Government organ,,,,,,,Congo (Brazzaville),,,Congo Brazzaville,St_,Pb,COG
Zinc  (kt),St_ Nationale des Mines de M'Fouati,Active,State of Congo (100%),Congo (Brazzavil,Government organ,,,,,,,Congo (Brazzaville),,,Congo Brazzaville,St_,Zn,COG
Gold  (t),Afema Gold Mine,Suspended,Eden Roc (68%),Canada,Company ,State of Cote d'Ivoire (32%),Cote d'Ivoire,Government organ,,,,Canada,5.4833,-3.2,Cote d'Ivoire,Afema,Au,CIV
Gold  (t),Bonikro Gold Mine,Operating,Newcrest (100%),Australia,Major company,,,,,,,Australia,6.75,-5.0833,Cote d'Ivoire,Bonikro,Au,CIV
Gold  (t),Ity Gold Mine,Operating,State of Cote d'Ivoire (52%),Cote d'Ivoire,Government organ,Weather II (48%),Egypt ,Holding company ,,,,Egypt,6.6167,-8.45,Cote d'Ivoire,Ity,Au,CIV
Tantalum  (t),St_ pour le Developpement Miniere en Cªte d'Ivoire,Active,State of Cote d'Ivoire (100%),Cote d'Ivoire,Government organ,,,,,,,Cote d'Ivoire,,,Cote d'Ivoire,St_,coltan,CIV
Gold  (t),Tongon Gold Mine,Operating,Randgold Res (100%),South Africa,Company ,,,,,,,South Africa,10.2,-5.6333,Cote d'Ivoire,Tongon,Au,CIV
Gold  (t),Yaoure Gold Mine,Susp: restart/plans,Amara (100%),UK,Company ,,,,,,,UK,7.05,-5.5667,Cote d'Ivoire,Yaoure,Au,CIV
Cobalt  (kt),Big Hill (Lubumbashi) Copper/Cobalt Tailings,Operating,OMG (55%),USA,Non-mining compa,George Forrest (25%),Belgium ,Non-mining compa,Gecamines (20%),Congo (DRC) ,Major company,USA,-11.6167,27.5542,DRC,Big,Co,COD
Copper  (kt),Big Hill (Lubumbashi) Copper/Cobalt Tailings,Operating,OMG (55%),USA,Non-mining compa,George Forrest (25%),Belgium ,Non-mining compa,Gecamines (20%),Congo (DRC) ,Major company,USA,-11.6167,27.5542,DRC,Big,Cu,COD
Zinc  (kt),Big Hill (Lubumbashi) Copper/Cobalt Tailings,Operating,OMG (55%),USA,Non-mining compa,George Forrest (25%),Belgium ,Non-mining compa,Gecamines (20%),Congo (DRC) ,Major company,USA,-11.6167,27.5542,DRC,Big,Zn,COD
Copper  (kt),Dikulushi Copper/Silver Mine,Operating: exp/feasib,Mawson West (100%),Australia,Company ,,,,,,,Australia,-10.7167,25.4,DRC,Dikulushi,Cu,COD
Silver  (t),Dikulushi Copper/Silver Mine,Operating: exp/feasib,Mawson West (100%),Australia,Company ,,,,,,,Australia,-10.7167,25.4,DRC,Dikulushi,Ag,COD
Cobalt  (kt),Etoile Copper Mine,Operating,Shalina Res (100%),United Arab Emir,Company ,,,,,,,United Arab Emirates,-11.6167,27.6167,DRC,Etoile,Co,COD
Copper  (kt),Etoile Copper Mine,Operating,Shalina Res (100%),United Arab Emir,Company ,,,,,,,United Arab Emirates,-11.6167,27.6167,DRC,Etoile,Cu,COD
Copper  (kt),Frontier (Lufua) Copper Mine,Susp: restart/plans,ENRC plc (100%),UK,Major company,,,,,,,UK,-12.7333,28.5667,DRC,Frontier,Cu,COD
Cobalt  (kt),Gecamines Copper/Cobalt Mines,Operating,Gecamines (100%),Congo (DRC) ,Major company,,,,,,,Congo (DRC),-10.7333,25,DRC,Gecamines,Co,COD
Copper  (kt),Gecamines Copper/Cobalt Mines,Operating,Gecamines (100%),Congo (DRC) ,Major company,,,,,,,Congo (DRC),-10.7333,25,DRC,Gecamines,Cu,COD
Gold  (t),Gecamines Copper/Cobalt Mines,Operating,Gecamines (100%),Congo (DRC) ,Major company,,,,,,,Congo (DRC),-10.7333,25,DRC,Gecamines,Au,COD
Silver  (t),Gecamines Copper/Cobalt Mines,Operating,Gecamines (100%),Congo (DRC) ,Major company,,,,,,,Congo (DRC),-10.7333,25,DRC,Gecamines,Ag,COD
Gold  (t),Bisha Gold/Silver/Zinc/Copper Mine,Operating,Nevsun (60%),Canada,Company ,ENAMCO (40%),Eritrea ,Company ,,,,,,,Eritrea,Bisha,Au,ERI
Tantalum  (t),Kenticha Tantalum Mine,Operating,EMDSC (100%),Ethiopia,Company ,,,,,,,Ethiopia,,,Ethiopia,Kenticha,coltan,ETH
Gold  (t),Lega Dembi Gold Mine,Operating: exp/constr,Al-Amoudi fam (100%),Saudi Arabia,Family,,,,,,,Saudi Arabia,,,Ethiopia,Lega,Au,ETH
Uranium oxide  (kt),Cie des Mines d'Uranium de Franceville,Active,Areva (73%),France,Holding company ,State of Gabon (27%),Gabon ,Government organ,,,,France,,,Gabon,Cie,U,GAB
Manganese ore  (Mt),Moanda Manganese Mine,Operating,State of France (60%),France,Government organ,State of Gabon (31%),Gabon ,Government organ,Areva (9%),France,Holding company ,France,,,Gabon,Moanda,Mn,GAB
Gold  (t),Ahafo Gold Mine,Operating,Newmont Mining (100%),USA,Major company,,,,,,,USA,7.2167,-2.2333,Ghana,Ahafo,Au,GHA
Diamond carats  (Mct),Akwatia Diamond Mine,Operating,Great Cons. (100%),Ghana ,Company ,,,,,,,Ghana,6.05,-0.8,Ghana,Akwatia,Dia,GHA
Bauxite  (Mt),Awaso Bauxite Mine,Operating,Bosai Minerals (100%),China ,Company ,,,,,,,China,6.2333,-2.2833,Ghana,Awaso,Al,GHA
Gold  (t),Bibiani Gold Mine,Operating,Noble Min Res (100%),Australia,Company ,,,,,,,Australia,6.4167,-2.4167,Ghana,Bibiani,Au,GHA
Gold  (t),Bogoso/Prestea Gold Mine,Operating: exp/plans,Golden Star Res (100%),USA,Company ,,,,,,,USA,5.575,-2.0042,Ghana,Bogoso/Prestea,Au,GHA
Gold  (t),Chirano Gold Mine,Operating: exp/feasib,Kinross Gold (100%),Canada,Major company,,,,,,,Canada,6.35,-2.3167,Ghana,Chirano,Au,GHA
Gold  (t),Damang Gold Mine,Operating,Gold Fields (100%),South Africa,Major company,,,,,,,South Africa,5.5,-1.75,Ghana,Damang,Au,GHA
Gold  (t),Dunkwa Gold Mine,Operating,,MISSING,,,,,,,,,6.0083,-1.5875,Ghana,Dunkwa,Au,GHA
Gold  (t),Edikan Gold Mine,Operating,Perseus Mining (100%),Australia,Company ,,,,,,,Australia,5.9167,-1.7583,Ghana,Edikan,Au,GHA
Gold  (t),Esaase Gold Mine,Closed,,MISSING,,,,,,,,,6.5458,-1.7792,Ghana,Esaase,Au,GHA
Gold  (t),Great Consolidated Diamonds Company Ghana Ltd,Active,,MISSING,,,,,,,,,,,Ghana,Great,Au,GHA
Gold  (t),Iduapriem Gold Mine,Operating,Anglogold (100%),South Africa,Major company,,,,,,,South Africa,5.2417,-2.0417,Ghana,Iduapriem,Au,GHA
Diamond carats  (Mct),Aredor Diamond Mine,Operating,Azure Resources (100%),Canada,Company ,,,,,,,Canada,9.3167,-8.7167,Guinea,Aredor,Dia,GIN
Bauxite  (Mt),Boke (Sangaredi) Bauxite Mine,Operating,State of Guinea (49%),Guinea,Government organ,Rio Tinto Group (23%),UK,Major company,Alcoa (14%),USA,Major company,Guinea,11.0736,-13.8342,Guinea,Boke,Al,GIN
Bauxite  (Mt),Friguia Bauxite Mine,Operating,Rusal (100%),Russia,Major company,,,,,,,Russia,10.45,-13.5667,Guinea,Friguia,Al,GIN
Diamond carats  (Mct),Hymex Guinee SA,Active,Hymex Diamond (100%),Canada,Company ,,,,,,,Canada,,,Guinea,Hymex,Dia,GIN
Diamond value  (M USD),Hymex Guinee SA,Active,Hymex Diamond (100%),Canada,Company ,,,,,,,Canada,,,Guinea,Hymex,Dia,GIN
Bauxite  (Mt),Kindia Bauxite Mine,Operating,Rusal (100%),Russia,Major company,,,,,,,Russia,10.05,-12.8667,Guinea,Kindia,Al,GIN
Gold  (t),Kiniero (Jean-Gobele) Gold Mine,Operating,Semafo (100%),Canada,Company ,,,,,,,Canada,10.4242,9.7997,Guinea,Kiniero,Au,GIN
