A,Metalmineral,Status,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Companycountry,country,shortname,metal
29,Nickel  (kt),Active, ---  , ---  , ---  , ---  , ---  , ---  ,6.8,7.1,6.2,6.7,6.5,6.3,7.5, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Russia,Botswana,Tati,Ni
30,Palladium  (t),Active, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.34,0.36,0.57, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Russia,Botswana,Tati,PGM
31,Platinum  (t),Active, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.04,0.04,0.09, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Russia,Botswana,Tati,PGM
32,PGMs  (t),Active, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.38,0.39,0.66, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Russia,Botswana,Tati,PGM
33,Silver  (t),Active, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.04, ---  ,0.16, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Russia,Botswana,Tati,Ag
1,Gold  (t),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,4.22,11.645,10.886,Canada,Burkina Faso,Essakane,Au
2,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,4.284,5.186,4.205,UK,Burkina Faso,Inata,Au
3,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.693,2.302,2.224,1.665,UK,Burkina Faso,Kalsaka,Au
4,Gold  (t),"Operating, exp/feasib", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,2.3,4.774,5.589,5.7,5.372,Canada,Burkina Faso,Mana,Au
6,Silver  (t),Active,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Burkina Faso,Burkina Faso,Sté,Ag
7,Gold  (t),Active,0.5,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Burkina Faso,Burkina Faso,Sté,Au
8,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.408,0.954,2.806,3.956,4.137,3.941,Russia,Burkina Faso,Taparko,Au
9,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.8,2,2.56,2.72,2.831,Canada,Burkina Faso,Youga,Au
5,Copper  (kt),Active,1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Congo (Brazzaville),Congo Brazzaville,Sté,Cu
6,Lead  (kt),Active,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Congo (Brazzaville),Congo Brazzaville,Sté,Pb
7,Zinc  (kt),Active,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Congo (Brazzaville),Congo Brazzaville,Sté,Zn
1,Gold  (t),Suspended, ---  , ---  ,0.3,0.96,1,0.697,0.579,1.231,0.2,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Canada,Cote d'Ivoire,Afema,Au
2,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.143,4.666,2.66,1.877,3.466,Australia,Cote d'Ivoire,Bonikro,Au
3,Gold  (t),Operating, ---  ,1,1.25,1.4,1.4,1.319,1.297,1.595,1.466,1.43,1.591,1.645,1.53, ---  ,1,1.335,1.324,1.243,1.694,1.608,1.155,1.142,  ..   ,Egypt,Cote d'Ivoire,Ity,Au
4,Tantalum  (t),Active,  ..   ,  ..   ,  ..   ,  ..   , ---  , ---  , ---  ,1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Cote d'Ivoire,Cote d'Ivoire,Sté,coltan
5,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.875,7.788,6.55,South Africa,Cote d'Ivoire,Tongon,Au
6,Gold  (t),"Susp, restart/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,1.58,1.494,1.519,1.16, ---  , ---  , ---  , ---  , ---  ,0.67,0.62, ---  , ---  ,UK,Cote d'Ivoire,Yaoure,Au
1,Cobalt  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.83,1.93,3.06,2.89,2.26,5.02,5.59,5.55,4.59,4.23,  ..   ,  ..   ,USA,DRC,Big,Co
2,Copper  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.2,1.3,1.9,1.7,1.4,3,3.2,3,2.6,2.5,  ..   ,  ..   ,USA,DRC,Big,Cu
3,Zinc  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,7.4,7.5,9.8,10,9.4,20.9,16,15,14,  ..   ,  ..   ,  ..   ,USA,DRC,Big,Zn
4,Copper  (kt),"Operating, exp/feasib", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.2,13.9,12.1,17.8,22.6,24.6,11, ---  ,4.5,4.3,5.8,Australia,DRC,Dikulushi,Cu
5,Silver  (t),"Operating, exp/feasib", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,2.12,35.74,69.72,45.62,67.63,76.24,34.08, ---  ,10,10.08,14.4,Australia,DRC,Dikulushi,Ag
6,Cobalt  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.42,2.04,2.6,0.22,0.52,1.09,1.5,1.5,United Arab Emirates,DRC,Etoile,Co
7,Copper  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.7,5,6.4,1.3,4.1,9.4,18,15,United Arab Emirates,DRC,Etoile,Cu
8,Copper  (kt),"Susp, restart/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,8.7,80.2,92.4,47.5, ---  , ---  ,UK,DRC,Frontier,Cu
9,Cobalt  (kt),Operating,10.03,8.79,6.62,2.2,3.34,3.97,4.04,3,3.87,2.31,3.74,3.46,1.78,1.36,1.41,0.93,0.74,0.6,0.31,0.44,0.75,0.65,1,Congo (DRC),DRC,Gecamines,Co
10,Copper  (kt),Operating,339.4,268,135,47.5,39.3,32.5,38.9,36.4,37.2,29.6,27.5,21.2,18.2,9.4,7.7,16.1,24.2,23,23.5,14,17,17,35.2,Congo (DRC),DRC,Gecamines,Cu
11,Gold  (t),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Congo (DRC),DRC,Gecamines,Au
12,Silver  (t),Operating,84,50,35,10,1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Congo (DRC),DRC,Gecamines,Ag
1,Tantalum  (t),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,29,38,28,35,35,37,49,57,52,37,  ..   ,  ..   ,  ..   ,  ..   ,Ethiopia,Ethiopia,Kenticha,coltan
2,Gold  (t),"Operating, exp/constr",  ..   ,3,2.5,2,1.5,1,1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Saudi Arabia,Ethiopia,Lega,Au
1,Uranium oxide  (kt),Active,,,,,,,,,,, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,France,Gabon,Cie,U
2,Manganese ore  (Mt),Operating,,,,,,,,,,,1.74,1.79,1.86,2,2.46,2.86,3,3.3,3.25,1.99,3.2,3.43,  ..   ,France,Gabon,Moanda,Mn
1,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,6.29,14.2,16.3,16.6,17,17.6,17.449,USA,Ghana,Ahafo,Au
2,Diamond carats  (Mct),Operating,  ..   ,  ..   ,0.12,0.21,0.33,0.29,0.27,0.27,0.24,0.21,0.19,0.2,0.15,0.16,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Ghana,Ghana,Akwatia,Dia
3,Bauxite  (Mt),Operating,0.38,0.33,0.34,0.42,0.45,0.51,0.47,0.5,0.44,0.36,0.6,0.69,0.68,0.5,0.5,0.61,0.89,0.75,0.8,0.44,0.04,  ..   ,  ..   ,China,Ghana,Awaso,Al
4,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,4.719,8.146,8.513,7.871,7.541,6.616,4.9,3.578,1.163,0.744,0.8,  ..   , ---  , ---  ,0.766,Australia,Ghana,Bibiani,Au
5,Gold  (t),"Operating, exp/plans",0.12,1.92,2.43,2.94,3.392,3.349,3.327,3.464,3.577,4.058,3.917,2.735,3.869,5.422,4.599,4.102,3.228,3.982,5.303,5.787,5.318,4.368,5.456,USA,Ghana,Bogoso/Prestea,Au
6,Gold  (t),"Operating, exp/feasib", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.941,3.945,3.956,3.757,5.705,5.839,8.144,9.121,Canada,Ghana,Chirano,Au
7,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.248,8.424,9.446,10.254,9.411,8.874,9.42,9.212,7.138,6.772,5.581,6.127,6.298,7.084,6.771,5.176,South Africa,Ghana,Damang,Au
9,Gold  (t),Operating, ---  , ---  , ---  , ---  ,0.169,1.701,1.659,1.807,1.44,1.382,1.13,0.358, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.114,6.07,Australia,Ghana,Edikan,Au
12,Gold  (t),Operating, ---  , ---  ,1.18,2.95,3.693,3.865,3.079,4.56,4.828,5.092,5.191,6.38,5.76,7.575,4.52,6.379,6.113,5.192,6.221,5.909,5.769,6.19,5.599,South Africa,Ghana,Iduapriem,Au
1,Diamond carats  (Mct),Operating,0.13,0.09,0.08,0.09, ---  , ---  ,0,0.01,0.02,0.03,0.04,0.04,0.03,0.04,0.04,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Canada,Guinea,Aredor,Dia
2,Bauxite  (Mt),Operating,10.5,10.6,10.3,11.7,11.89,11.37,11.24,12.04,13.2,13.62,14.41,11.99,12.04,12.06,11.5,12,13.5,13,13.18,11.22,12.41,12.52,13.9,Guinea,Guinea,Boke,Al
3,Bauxite  (Mt),Operating,2.18,2.19,2.37,2.26,2.27,2.27,2.4,2.4, ---  ,  ..   ,2.3,2.3,2.3,2.28,2.3,2.3,2.5,2.5,2,1.7,2.12,1.92,0.49,Russia,Guinea,Friguia,Al
4,Diamond carats  (Mct),Active, ---  , ---  , ---  , ---  , ---  ,0.01,0.03,0.03,0.01,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Canada,Guinea,Hymex,Dia
6,Bauxite  (Mt),Operating,3.09,2.79,1.26,2.8,1.19,1.7,2.02,2.5,1.59,  ..   ,1.13,1.6,1.82,2.07,2,2,2.5,2.5,3.2,2.7,2.95,3,3.33,Russia,Guinea,Kindia,Al
7,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.307,1.453,1.277,1.91,1.47,0.843,1.61,1.05,0.936,0.65,0.423,Canada,Guinea,Kiniero,Au
8,Gold  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  ,  ..   ,0.893,1.207,1.553,1.705,1.876,2.718,3.279,3.367,2.884,2.403,1.55,1.6,3,6.5,5.568,5.525,6.096,5.347,Russia,Guinea,Lero-Fayalala,Au
9,Gold  (t),Operating,1.57,1.5,1, ---  , ---  , ---  , ---  , ---  ,6.03,7.441,9.436,8.808,8.376,7.863,4.5,7.674,9.35,10.25,12.176,11.572,9.995,9.103,9.038,South Africa,Guinea,Siguiri,Au
1,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,,,,,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Kenya,Lolgorien,Au
1,Diamond carats  (Mct),"Operating, exp/feasib",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,,,0.1,0.09,0.09,0.11,0.11,UK,Lesotho,Letseng,Dia
3,Diamond carats  (Mct),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,,,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Lesotho,Liqhobong,Dia
2,Iron ore  (Mt),Closed, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,Liberia,Liberia,Lamco,Fe
4,Iron ore  (Mt),Active,0.85,0.98,1.71, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,Liberia,Liberia,Liberian,Fe
6,Iron ore  (Mt),Operating, ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.3,3.25,UK,Liberia,Yekepa,Fe
1,Cobalt  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  ,0.49,Canada,Madagascar,Ambatovy,Co
2,Nickel  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  ,5.7,Canada,Madagascar,Ambatovy,Ni
