A,Metalmineral,Status,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Companycountry,country,shortname,metal
4,Gold  (t),Active,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,Attica,Au
5,Lithium  (kt),Active,0.3,0.4,0.4,0.6,0.75,0.85,0.9,0.9,0.9,0.7,0.74,0.7,0.65,0.25,0.25,0.6,0.5,0.3,0.6,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Bikita,Li
6,Cobalt  (kt),Active, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zimbabwe,Bindura,Co
7,Copper  (kt),Active, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,Zimbabwe,Bindura,Cu
8,Nickel  (kt),Active, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,Zimbabwe,Bindura,Ni
9,Palladium  (t),Active,0.02,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zimbabwe,Bindura,PGM
10,Platinum  (t),Active,0.01,0.1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zimbabwe,Bindura,PGM
11,PGMs  (t),Active,0.03,0.1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zimbabwe,Bindura,PGM
12,Gold  (t),"Operating, exp/plans",0.64,0.56,0.57,0.634,0.648,0.803,1.027,1.096,1.097,1.174,1.075,1.231,1.294,1.1,0.6,0.7,0.75,0.435,0.239,0.343,0.5,1.114,1.4,Canada,Zimbabwe,Blanket,Au
13,Iron ore  (Mt),Closed,1.19,1.05,1.1,0.37,0,  ..   ,0.17,0.08,  ..   ,0.09,0.06, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,India,Zimbabwe,Buchwa,Fe
14,Gold  (t),Operating,0.28,0.37,0.56,0.649,0.448,0.503,0.378,0.313,0.288,0.266,0.263,0.16,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Cam,Au
15,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.154,0.329,Canada,Zimbabwe,Camperdown,Au
16,Gold  (t),Closed,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.35,0.671,0.323,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Canada,Zimbabwe,Connemara,Au
19,Copper  (kt),Active,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,Corsyn,Cu
20,Silver  (t),Active,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,Corsyn,Ag
21,Gold  (t),Operating,0.98,0.95,1.04,0.6,1.2,1.2,1.1,0.8,0.54,0.5,0.556,0.516,0.539,0.276,0.216,0.2,0.2, ---  , ---  ,0.02,  ..   ,0.248,0.316,Canada,Zimbabwe,Dalny,Au
22,Phosphate rock  (Mt),Active,0.2,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Dorowa,PO43
23,Gold  (t),Operating, ---  , ---  , ---  ,0.43,0.495,0.536,0.5,0.5,0.54,0.5,0.5,0.35,0.358,0.23,0.109,0.2,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Elvington,Au
26,Cobalt  (kt),Closed,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,Zimbabwe,Epoch,Co
27,Copper  (kt),Closed,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,Zimbabwe,Epoch,Cu
28,Nickel  (kt),Closed,1.2,1.5,1.5,1.3,1.4,1.2,1.2,1.3,0.8, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,UK,Zimbabwe,Epoch,Ni
29,Gold  (t),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.664,0.107,0.045, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,Zimbabwe,Eureka,Au
31,Gold  (t),Suspended,0.14,0.51,0.43,0.43,0.3,0.45,0.45,0.5,0.5,0.5,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Freda,Au
32,Gold  (t),"Operating, exp/plans",2.12,1.96,2.18,1.713,2.16,2.5,2.983,3.311,3.368,3.396,3.489,3.193,3.056,1.589,0.44,0.3,0.183, ---  , ---  ,0.12,0.73,1.308,2.088,UK,Zimbabwe,Freda,Au
33,Gold  (t),Closed,0.26,0.23,0.25,0.266,0.387,0.511,0.3,0.24,0.28,  ..   ,0.3,0.087, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Canada,Zimbabwe,Golden,Au
34,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.2,0.2,0.2,0.2,0.2, ---  , ---  , ---  , ---  , ---  ,Canada,Zimbabwe,Golden,Au
35,Palladium  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.02,0.62,1.03, ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,Hartley,PGM
36,Platinum  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.02,0.73,1.31, ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,Hartley,PGM
37,PGMs  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.03,1.4,2.43, ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,Hartley,PGM
38,Rhodium  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0,0.05,0.1, ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,Hartley,PGM
39,Gold  (t),Operating,0.9,1.07,1.08,1.04,0.9,1.2,1.2,1.25,1.3,1.3,1.05,1.451,1.507,1.585,0.879,1.5,1,0.75,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,How,Au
40,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,3.4,3.2,3.568,2.572,2.46,1.72,1.978,1.862,1.5,1.5,2.2,2.3,1.8,Zimbabwe,Zimbabwe,Hwange,coal
41,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.4,0.4,0.536,0.555,0.4,0.35,0.322,0.323,0.2,0.2,0.2,0.2,0.2,Zimbabwe,Zimbabwe,Hwange,coal
42,Gold  (t),Suspended,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.5,0.5,0.6,0.5,0.5,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Canada,Zimbabwe,Indarama,Au
43,Gold  (t),Suspended,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.12,0.13,0.14,0.13,1.55,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zimbabwe,Inez,Au
44,Gold  (t),Operating, ---  , ---  ,  ..   ,0.282,0.385,0.414,0.5,0.6,0.4,  ..   ,0.4,0.435,0.154,0.439,0.379,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Jena,Au
45,Niobium  (kt),Active,  ..   ,  ..   ,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Zimbabwe,Zimbabwe,Kamativi,coltan
46,Tantalum  (t),Active,10,10,10,15,3, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Zimbabwe,Zimbabwe,Kamativi,coltan
47,Tin  (kt),Active,0.84,0.8,0.72,0.7,0.1, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Zimbabwe,Zimbabwe,Kamativi,Sn
48,Cobalt  (kt),Closed,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,Zimbabwe,Madziwa,Co
49,Copper  (kt),Closed,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.3,  ..   ,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,Zimbabwe,Madziwa,Cu
50,Nickel  (kt),Closed,1.8,1.8,1.7,2.1,2.4,2.1,2.3,1.7,1.6,1.4,0.6, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,UK,Zimbabwe,Madziwa,Ni
51,Gold  (t),Closed, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.1,0.39,0.2,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zimbabwe,Maligreen,Au
52,Gold  (t),Suspended,0.42,0.47,0.55,0.55,0.55,0.6,0.6,0.55,0.7,0.7,0.455,0.428,0.35,0.414,0.265,0.25,0.25,0.25,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,Mazowe,Au
53,Copper  (kt),Active,3.3,3.1,2.3,1.5,1.5,1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Merits,Cu
55,Gold  (t),Active, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,Zimbabwe,Metallon,Au
56,Copper  (kt),Active,9.5,8.5,7,5.9,6,4,4,3.3,2.8,1,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Zimbabwe,Zimbabwe,Mhangura,Cu
57,Gold  (t),Active,0.27,0.23,0.15,0.083,0.052,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Mhangura,Au
58,Palladium  (t),Active,0.01,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Mhangura,PGM
59,Platinum  (t),Active,0.01,0.1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Mhangura,PGM
60,PGMs  (t),Active,0.02,0.1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Mhangura,PGM
61,Silver  (t),Active,14.71,14.58,12.5,8.87,9.11,9,9,5.5,4,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Mhangura,Ag
62,Cobalt  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.02,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.08,0.09,0.09,Australia,Zimbabwe,Mimosa,Co
63,Copper  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.5,1.3,1.4,1.7,1.7,1.8,1.8,2.2,2.3,2.4,2.4,Australia,Zimbabwe,Mimosa,Cu
64,Gold  (t),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.075,0.235,0.26,0.303,0.319,0.325,0.334,0.406,0.426,0.447,0.452,Australia,Zimbabwe,Mimosa,Au
65,Nickel  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.5,1.6,1.7,2,2,2.1,2.2,2.7,2.8,3,3.2,Australia,Zimbabwe,Mimosa,Ni
66,Palladium  (t),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.01,0.01,0.2,0.2,0.4,0.36,0.37,0.4,1.29,1.39,1.67,1.77,1.87,1.92,2.32,2.39,2.55,2.62,Australia,Zimbabwe,Mimosa,PGM
67,Platinum  (t),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.01,0.01,0.22,0.3,0.5,0.5,0.52,0.5,1.83,1.88,2.24,2.31,2.46,2.52,3.07,3.15,3.3,3.37,Australia,Zimbabwe,Mimosa,PGM
68,PGMs  (t),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.02,0.02,0.42,0.5,0.9,0.86,0.89,0.95,3.27,3.68,4.64,4.56,4.84,4.97,6.04,6.39,6.94,6.66,Australia,Zimbabwe,Mimosa,PGM
69,Rhodium  (t),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.05,0.14,0.15,0.17,0.18,0.19,0.2,0.24,0.25,0.27,0.27,Australia,Zimbabwe,Mimosa,PGM
71,Gold  (t),Suspended,0.49,0.51,0.35,0.39,0.4,0.45,0.45,0.35,0.35,0.4,0.208,0.044, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,Muriel,Au
72,Diamond carats  (Mct),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.05,0.25,0.24,0.15,0.26,0.12,0.18,0.37,0.4,UK,Zimbabwe,Murowa,Dia
74,Copper  (kt),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.6,1,1.1,1.1,1.5,1,1,1.6,2.5,2.7,2.3,South Africa,Zimbabwe,Ngezi,Cu
75,Gold  (t),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.193,0.282,0.31,0.3,0.4,0.3,0.3,0.5,0.8,0.7,0.5,South Africa,Zimbabwe,Ngezi,Au
76,Nickel  (kt),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.9,1.5,1.6,1.5,1.6,1.5,1.7,2.3,3.5,3.6,3.4,South Africa,Zimbabwe,Ngezi,Ni
77,Palladium  (t),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.54,2.15,2.31,2.28,2.42,2.3,2.47,3.24,4.4,4.62,4.21,South Africa,Zimbabwe,Ngezi,PGM
78,Platinum  (t),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.77,2.49,2.73,2.73,2.89,2.84,3.12,4.07,5.73,5.75,5.25,South Africa,Zimbabwe,Ngezi,PGM
79,PGMs  (t),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,3.47,4.87,5.29,5.89,6.24,6.05,6.54,8.58,10.5,12.21,11.09,South Africa,Zimbabwe,Ngezi,PGM
80,Rhodium  (t),"Operating, exp/constr", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.16,0.23,0.25,0.25,0.25,0.25,0.26,0.26,0.5,0.52,0.46,South Africa,Zimbabwe,Ngezi,PGM
82,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.2,0.2,0.2,  ..   ,  ..   ,  ..   ,0.562,0.528,Canada,Zimbabwe,Old,Au
83,Gold  (t),Active,0.21,0.25,0.23,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Canada,Zimbabwe,Olympus,Au
86,Gold  (t),Operating,0.97,1,0.47,0.79,0.7,0.7,  ..   ,0.7,0.75,0.8,1.02,0.788,0.52,0.556,0.14,0.5,0.2,0.5,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,Redwing,Au
88,Copper  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Renco,Cu
89,Gold  (t),Operating,1.32,1.52,1.39,1.425,1.456,1.478,1.469,1.546,1.506,1.426,1.448,1.55,0.937,0.72,0.271,0.75,0.74,0.55,0.453,0.708,0.56,0.575,  ..   ,Zimbabwe,Zimbabwe,Renco,Au
92,Iron ore  (Mt),Suspended, ---  , ---  ,0.36, ---  ,  ..   ,0.31,0.4,0.37,0.51,0.38,0.38,0.36,0.27,0.37,0.31,0.33,0.09,0.09, ---  , ---  , ---  ,  ..   ,  ..   ,India,Zimbabwe,Ripple,Fe
93,Diamond carats  (Mct),Operating,  ..   ,  ..   ,  ..   ,0.1,0.15,0.2,0.45,0.42,0.03,0.04,0.02, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Canada,Zimbabwe,River,Dia
95,Gold  (t),Active,0.6,0.75,1, ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Sabi,Au
96,Gold  (t),Operating, ---  , ---  , ---  ,0.338,0.372,0.311,0.35,0.4,0.48,0.45,0.414,0.07,  ..   , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Sabi,Au
97,Copper  (kt),Closed, ---  , ---  , ---  , ---  , ---  ,2,2.6,2.9,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Sanyati,Cu
98,Gold  (t),Operating,0.61,0.9,0.98,0.99,0.9,0.75,0.8,0.95,1,1,1.117,1.285,0.908,0.862,0.616,0.6,0.6,0.5,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,Zimbabwe,Shamwa,Au
99,Cobalt  (kt),Suspended,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.02,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zimbabwe,Shangani,Co
100,Copper  (kt),Suspended,0.5,0.4,0.3,0.4,0.5,0.2,0.3,0.5,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zimbabwe,Shangani,Cu
101,Nickel  (kt),Suspended,4.2,3.8,3.7,3.7,4.2,3.5,3.6,3.3,3.1,3.7,3.3,3.4,3.3,2.7,0.7,2,2.4,2,2,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zimbabwe,Shangani,Ni
102,Gold  (t),Operating,0.27,0.27,0.29,0.21,0.1,0.15,0.2,0.25,0.3,0.3,0.354,0.154,0.121,0.071,0.062,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Australia,Zimbabwe,Tiger,Au
103,Cobalt  (kt),Operating,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.03,0.25,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zimbabwe,Trojan,Co
104,Copper  (kt),Operating,0.6,0.6,0.5,0.6,0.7,0.3,0.4,0.7,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zimbabwe,Trojan,Cu
105,Nickel  (kt),Operating,5.3,5.4,5.5,5.8,5.8,4.9,4.5,4.6,4.9,4.5,3.9,4.4,4.4,4,2.4,3,3.7,3.5,3,  ..   ,  ..   ,  ..   ,  ..   ,UK,Zimbabwe,Trojan,Ni
106,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.45,0.41,0.43,0.27,0.307,0.42,0.485,  ..   ,Canada,Zimbabwe,Turk,Au
107,Copper  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.9,1.3,UK,Zimbabwe,Unki,Cu
108,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.15,0.227,UK,Zimbabwe,Unki,Au
109,Nickel  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.8,1,UK,Zimbabwe,Unki,Ni
110,Palladium  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.05,1.38,UK,Zimbabwe,Unki,PGM
111,Platinum  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.58,2.01,UK,Zimbabwe,Unki,PGM
112,PGMs  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,2.8,3.77,UK,Zimbabwe,Unki,PGM
113,Rhodium  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.09,0.16,UK,Zimbabwe,Unki,PGM
114,Gold  (t),"Closed, reopen/plans",0.7,0.71,0.69,0.65,0.6,0.7,0.7,0.7,0.65,0.5,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,Canada,Zimbabwe,Venice,Au
